TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
14288604065376,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/egldeviceintegrations
14288604073370,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/PyQt5
14288604080264,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/sqldrivers
14288604087477,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/sensorgestures
14288604095080,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/platformthemes
14288604102406,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/iconengines
14288604109048,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/sensors
14288604116272,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/wayland-shell-integration
14288604124657,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/texttospeech
14288604131322,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/pim5
14288604171558,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/pim5/kcms
14288604196587,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/pim5/kcms/akregator
14288604206220,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/pim5/kcms/kmail
14288604214702,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/pim5/kcms/knotes
14288604224409,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/pim5/kcms/korganizer
14288604234454,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/pim5/kcms/kontact
14288604241194,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/plugins/pim5/kcms/kleopatra
